left_compound,right_compound,left_smiles,right_smiles,tanimoto_similarity,left_pchembl,right_pchembl,delta_pchembl,left_label,right_label
CHEMBL128336,CHEMBL341089,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccc(F)cc3)c2)C[C@H]1C(=O)NCC(F)(F)F,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccccc3)c2)C[C@H]1C(=O)NCC(F)(F)F,0.9375,10.3,8.6,1.700000000000001,1.0,1.0
CHEMBL276081,CHEMBL341089,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3cccc(Cl)c3)c2)C[C@H]1C(=O)NCC(F)(F)F,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccccc3)c2)C[C@H]1C(=O)NCC(F)(F)F,0.9,10.3,8.6,1.700000000000001,1.0,1.0
CHEMBL340729,CHEMBL341089,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3cccc(F)c3)c2)C[C@H]1C(=O)NCC(F)(F)F,O=C(N[C@H]1c2ccccc2OC[C@H]1O)[C@H](Cc1cccnc1)C[C@H](O)CN1CCN(Cc2ccn(-c3ccccc3)c2)C[C@H]1C(=O)NCC(F)(F)F,0.9,10.3,8.6,1.700000000000001,1.0,1.0
CHEMBL280398,CHEMBL278823,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)C(F)(F)C(=O)N[C@H](COCc1ccccc1)C(C)C,CC(C)[C@@H](COCc1ccccc1)NC(=O)C(F)(F)C(=O)C(Cc1ccc(OCc2ccccc2)cc1)NC(=O)[C@H](NC(=O)OCc1ccccc1)C(C)C,1.0,7.4,5.7,1.7000000000000002,1.0,
CHEMBL5173491,CHEMBL4635224,COc1ccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN(CC(C)C)S(=O)(=O)c2ccc([N+](=O)[O-])cc2)c(O)c1,COc1ccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN(C[C@@H](C)O)S(=O)(=O)c2ccc([N+](=O)[O-])cc2)c(O)c1,0.9130434782608695,7.9,6.2,1.7000000000000002,1.0,
CHEMBL90313,CHEMBL90645,CC(C)[C@@H]1[C@H](OC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(C3CC3)C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O,CC(C)[C@@H]1[C@H](OC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN2CCN(C3CCSCC3)C[C@H]2C(=O)NC(C)(C)C)CCS1(=O)=O,0.9102564102564102,8.32,6.62,1.7000000000000002,1.0,1.0
CHEMBL299667,CHEMBL50810,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)[C@H](O)CC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,1.0,7.2,5.52,1.6800000000000006,1.0,
CHEMBL129900,CHEMBL16316,CCC(c1cccc(NS(=O)(=O)c2ccc(C#N)cc2)c1)c1c(O)c2c(oc1=O)CCCC2,CCC(c1cccc(NS(=O)(=O)c2ccc(C#N)cc2)c1)c1c(O)c2c(oc1=O)CCCCCC2,0.9833333333333333,10.19,8.51,1.6799999999999997,1.0,1.0
CHEMBL2369717,CHEMBL1790831,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)CCCCCCCCCCCCCCC(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@H](C)O,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)CCCCCCCCCCCCC(=O)N[C@H](CO)C(=O)N[C@@H](C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(N)=O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)[C@H](C)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)O,1.0,6.5600000000000005,4.89,1.6700000000000008,1.0,0.0
CHEMBL2369717,CHEMBL1790826,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)CCCCCCCCCCCCCCC(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@H](C)O,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)CCCCCC/C=C\CCCCCCC(=O)N[C@H](CO)C(=O)N[C@@H](C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CC(N)=O)C(=O)N[C@H](Cc1ccccc1)C(=O)O)[C@H](C)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H](C)O,0.9439252336448598,6.5600000000000005,4.89,1.6700000000000008,1.0,0.0
