context,model,uses_smote,trial,threshold,accuracy,roc_auc,pr_auc,precision,recall,f1,mcc,brier,params
outer_fold_1,Gradient Boosting,False,2,0.48151781598114013,0.8646025878003697,0.8664626288659792,0.9798810886515885,0.9608282036933408,0.8850515463917525,0.921384491548162,0.4598397546766249,0.10912948294659995,"{""learning_rate"": 0.09235880348792563, ""max_depth"": 2, ""min_samples_leaf"": 11, ""n_estimators"": 177, ""subsample"": 1.0}"
outer_fold_2,Dummy Prior,False,1,0.4999999999999981,0.36800739713361075,0.5014884789655936,0.8967778255437795,0.8972222222222223,0.333161423414131,0.48589695374200825,0.001813155120639878,0.25000000000000344,{}
outer_fold_2,Logistic Regression,False,2,0.2745421562661204,0.9153952843273232,0.8515101211964929,0.9741722844240741,0.9287109375,0.9809179989685405,0.9541008276899925,0.4469608680829213,0.07715066575956381,"{""model__C"": 0.019292334608085722}"
outer_fold_2,Logistic Regression,False,1,0.05149190374469477,0.9079981507165973,0.813662694319605,0.9663224488040566,0.9235637779941578,0.9783393501805054,0.9501627848735287,0.3864369847182502,0.0956399221932074,"{""model__C"": 3.196731780929114}"
outer_fold_2,Linear SVC,False,2,0.48886176742420506,0.8742487286176607,0.7616810487732999,0.9578828723350943,0.9280945043656909,0.9319236719958741,0.9300051466803911,0.3119129798828638,0.10621140572542527,"{""model__C"": 0.3487675498704084}"
outer_fold_2,Linear SVC,False,1,0.6542368854185783,0.8076745261211281,0.7602374659249982,0.958014110059568,0.9419616947185142,0.8370293965961836,0.886400873839432,0.2956494620849831,0.10719937764079478,"{""model__C"": 2.3185550056089976}"
outer_fold_2,Random Forest,False,2,0.2728431872320775,0.9052242256125751,0.8884055201502983,0.9835309748138967,0.9506237006237006,0.9432697266632285,0.9469324359306238,0.5045623196288604,0.1573715237221104,"{""max_depth"": 16, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 165}"
outer_fold_2,Random Forest,False,1,0.24430008782459608,0.907535829865927,0.8647487198850659,0.980080243646357,0.9340988517224164,0.9649303764827231,0.9492643328259767,0.4373102630629107,0.11991194925020514,"{""max_depth"": 24, ""max_features"": 0.5, ""min_samples_leaf"": 2, ""min_samples_split"": 7, ""n_estimators"": 158}"
outer_fold_2,Extra Trees,False,1,0.12361008981981808,0.9214054553860379,0.8669117917925294,0.9809995725937153,0.9304136253041363,0.9860752965446106,0.957436154231347,0.48638243085861227,0.16399596514641798,"{""max_depth"": 20, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""n_estimators"": 155}"
outer_fold_2,Extra Trees,False,2,0.04052782994898673,0.8733240869163199,0.8162896927724159,0.9725415037187154,0.9383886255924171,0.9190304280556988,0.9286086503387181,0.36925001413862535,0.2933821983286038,"{""max_depth"": 12, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 173}"
outer_fold_2,Extra Trees + SMOTE,True,2,0.6278740426988405,0.9218677762367082,0.8937654258454285,0.9810660698863847,0.9628661087866108,0.9494584837545126,0.9561152947286419,0.601711975424326,0.05767956374122593,"{""max_depth"": null, ""max_features"": 0.35, ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""n_estimators"": 159}"
